Campaign,Spend (CAD),Impressions,Reach,Clicks,CTR (%),Avg CPM (CAD),Avg CPC (CAD)
EN_ADSET_6,38759.32,3074657,1394136,11253.0,0.37,14.07,3.75
EN_ADSET_1,21607.83,1206160,559332,5355.0,0.44,9.31,1.49
EN_ADSET_16,21151.58,1347220,627564,5223.0,0.39,6.37,1.6
EN_ADSET_13,19022.01,1281405,738275,4827.0,0.38,6.97,1.45
EN_ADSET_11,18968.78,1708827,758147,6195.0,0.36,5.66,0.55
EN_ADSET_10,13981.55,641307,386277,3462.0,0.54,9.28,2.14
FR_ADSET_3,12629.73,676025,334260,3963.0,0.59,18.47,3.31
EN_ADSET_8,12099.37,562482,390289,2835.0,0.5,10.21,2.08
FR_ADSET_10,11894.56,826299,346171,3845.0,0.47,15.27,2.97
EN_ADSET_5,10575.8,851557,459552,3738.0,0.44,16.81,3.01
EN_ADSET_19,8572.81,361176,226437,1625.0,0.45,6.1,1.14
EN_ADSET_20,6711.41,236006,141601,1972.0,0.84,21.54,3.01
EN_ADSET_2,5977.26,341027,212524,1455.0,0.43,5.43,1.25
FR_ADSET_5,5041.84,305960,184714,1266.0,0.41,9.88,2.21
EN_ADSET_9,3982.51,165449,105922,859.0,0.52,6.36,1.05
EN_ADSET_12,3887.49,279449,164439,986.0,0.35,7.25,0.68
FR_ADSET_7,3851.59,169913,104389,1199.0,0.71,23.17,3.98
EN_ADSET_17,3654.12,138830,76462,765.0,0.55,6.38,1.09
EN_ADSET_3,1879.04,104684,55227,361.0,0.34,11.32,2.35
EN_ADSET_23,1705.44,68882,41891,453.0,0.66,26.94,5.57
FR_ADSET_4,1182.74,68515,38348,326.0,0.48,11.51,2.42
FR_ADSET_8,899.82,48316,28693,258.0,0.53,19.83,3.25
EN_ADSET_7,770.48,53570,33518,203.0,0.38,16.9,4.24
FR_ADSET_2,665.93,45255,28235,205.0,0.45,16.26,3.1
FR_ADSET_6,545.49,35359,20185,137.0,0.39,13.34,1.36
FR_ADSET_9,225.64,11927,7069,68.0,0.57,22.37,2.95
EN_ADSET_22,208.37,13752,6393,57.0,0.41,6.74,1.31
EN_ADSET_4,156.93,11087,8027,31.0,0.28,10.68,1.76
EN_ADSET_18,51.84,3267,2729,14.0,0.43,16.42,2.36
EN_ADSET_15,34.96,1495,1188,11.0,0.74,21.97,2.36
EN_ADSET_14,5.25,139,46,0.0,0.0,5.8,0.0
ADSET_2,0.0,0,0,0.0,,0.0,0.0
ADSET_1,0.0,0,0,0.0,,0.0,0.0
EN_ADSET_21,0.0,0,0,0.0,,0.0,0.0
FR_ADSET_1,0.0,0,0,0.0,,0.0,0.0
